auteur;opinion;commentaire;note;date
JEAN-FRANCOIS SANCHEZ;Produits frais;De bons produitsLivraison programmée et horaires respectés;5; 14 janvier 2023
Clerget;De bons produits;Excellente expérience  ,goût nouveau et très bon , bonne quantité j ai vraiment apprécié;4; 15 janvier 2023
Severine Buysse;Premier repas de la box;recettes qui change de l'ordinaire, qd il y a un probleme sur un aliment ils le compense systématiquement.;5; 11 janvier 2023
Elise Teil;recettes qui change de l'ordinaire;ParfaiteCuisine simple;4; 15 janvier 2023
FLEURET MARIE FLEURET;Parfaite;Bonne expérience avec Hello Fresh.Des produits de qualité, un large choix de recettes.Des portions généreuses.Un service client de qualité.Des offres régulières.Le seul point négatif est qu'il ne faut pas oublier de désactiver les menus des semaines suivantes auquel cas, le prélèvement est automatique. Bien penser à désactiver les semaines où l'on ne souhaite pas recevoir de box ou bien désactiver son compte.;4; 06 janvier 2023
Elodie;Bonne expérience avec Hello Fresh.;Bonne expérience mais j'aimerais bien plus de choses variées et pas rajouté de euros pour certaines recettes;5; 13 janvier 2023
Maryline Suiveng;Bonne expérience mais j'aimerais bien…;"Problème de livraison, de janvier 2022 à juin 2022 pas de problème ! A partir de juillet la livraison est à heure aléatoire ""Les livreurs s'en battent les c.....""! Si vous télétravaillez en visio-conférence vous avec un appel téléphonique du livreur + un deuxième appel pour vous dire qu'il sera en retard + Appel téléphonique devant votre porte (ils ne savent pas utiliser une sonnette). Ils sont pires que les livreurs de ""La poste"" et ce n'est pas peu dire! J'ai donc dû après 5 réclamation infructueuse arrêter mon abonnement. Le dernier livreur ne voulant pas appuyer sur le bouton de la sonnette est reparti!!!!Hello flash devient une contrainte et plus un plaisir!!!!";4; 08 janvier 2023
Pascal HOLDRY;Problème de livraison;Je n'ai jamais reçu ma box... J'ai demandé des explications sur messenger mais je n'en ai pas eu. J'ai été remboursé, certes, mais j'attend toujours ma box qui était soit disant en préparation !!;4; 11 janvier 2023
Lucie Valadier;Où est ma box ???;Très contente des recettes malgré un petit loupé dans la livraison des ingrédients.Problème signalé, pris en charge rapidement et geste commercial dans la foulée. Ce genre de désagrément peut arriver partout, je ne dis pas ça et étant résigné sur ce sujet mais pour ce cas précis, la prise en charge rapide m'a largement satisfaite.;1; 10 janvier 2023
Christelle BASTIDE;Soucis de livraison;Nous avons demandé une livraison les samedis, or ce samedi (les fois précédentes ce sont très bien passées), pas de livreur, pas de mails, pas de messages, et finalement je reçois un mail ce matin en disant que ma commande sera livrée entre 9h30 et 10h30... alors ca va que j'ai pu demander à quelqu'un de réceptionner le colis, sinon je ne sais pas comment ca se serait passé. Sinon le spalts sont bons, pour le moment nous n'avons pas envie d'arrêter.;3,5; 15 janvier 2023
Sandrine Wenz;Les recettes sont bonnes mais;"Les recettes sont bonnes, je trouve seulement qu'il devrait y avoir une formule ""achat ponctuel"" car si on oublie de modifier les recettes choisis pour la semaine, on reçoit les recettes proposées. J'ai contacté le service client le lendemain de la fin de validation, on me dit ok on annule et on vous recrédite sur votre compte, ça n'a jamais été fait.";3; 01 janvier 2023
Déborah;Mitigé.....;Ma livraison est arrivée avec 2 jours de retard, autant vous dire que niveau organisation ça n'est pas terrible.HelloFresh est censé m'aider au quotidien, et bien là c'est raté !De plus j'avais 2 recettes avec de la salade, celles ci sont arrivées complètement pourries. Dommage...Je n'ai pas assez de recul pour savoir si c'est juste pas de chance ou bien si c'est récurrent avec eux.Sinon les recettes sont bonnes mais niveau logistique il vaut mieux être équipé d'un lave vaisselle !!;3; 15 janvier 2023
Emeric Delavaud;trop de plastique sinon très bien;Les +:- produits de très bonne qualité- recettes très bien expliquées - permet de profiter de certains produits qu'on achète rarement  grâce à un conditionnement optimisé Globalement j'ai été très satisfaite de toutes les recettes réalisées Les - :- appli très piégeuse, on ne peut pas bloquer pour une longue durée la livraison de recettes et on doit valider une semaine en avance ses recettes - si on oublie de le faire on se fait livrer des recettes non désirées ...- reste très (trop) cher sans code ou réduction - récurrence des recettes notamment dans les végétariennes, en seulement 4 semaines je suis retombées sur des recettes déjà faites;3; 10 janvier 2023
Estelle Massoni;Avis Hello Fresh;C’est l’occasion pour nous de nous régaler avec des repas qui sortent de l’ordinaire. Habitant une petite ville il est difficile de se procurer certains produits surtout en ce qui concerne les plats asiatiques. Nous sommes très satisfaits. Merci ☺️;4; 14 janvier 2023
Catherine;Ludique pratique et bon !;Commande reçue dans les délais,  bien organisé à l'intérieur du carton, par contre beaucoup trop de plastique à mon goût, la mangue d'une recette était pourrie, sinon le reste à l'air bien, j'apprécie les recettes format A4 imprimé,  pratique pour réaliser les recettes, dans l'ensemble assez satisfaite de ma commande.;3; 13 janvier 2023
Client;C’est l’occasion pour nous de nous…;Sincèrement nous n’avons pas été livré suite selon le sms a un problème au centre de dépôt. Nous avions prévus nos menus afin de ne pas avoir de courses à faire. Résultat nous avons dû faire les courses pour 3 jours de repas prévus. Double frais m. Nous espérons que ce qui sera livré sera encore consommable. C’est dommage car cela fait plusieurs fois que nous commandons. Les premières fois rien à redire mais les dernières fois soit les produits étaient manquants soit la dernières fois les sachets sous vide étaient ouverts et coulaient dans le cartons. Je ne suis pas sure de renouveler l’expérience car plus cela vaPlus cela se dégradé (pour nous);5; 10 janvier 2023
fanny;Assez satisfaite;C'est génial, ça me permet de manger variée avec ma famille;5; 12 janvier 2023
Elo B;Sincèrement nous n’avons pas été livré…;Recette originale très bien expliquée et rapide d'execution;3; 14 janvier 2023
Raïssa Fabre;C'est génial;Superbes recettesOn se laisse guider par les fiches qui sont fournies avec chaque plat, donc d'une facilitée Voilà rien à redire;1; 04 janvier 2023
Julie B;De bons produits à un prix raisonnable;Je suis déçu j’ai parraine une amie. Elle n’a pas bénéficié de la réduction. Soit disant qu’elle était périmée. Il n’y a pas de date de préemption de préciser !!!!;5; 14 janvier 2023
Nath;Positive expérience;Donne des idées recettes qui changent des plats que l'on cuisine tout le temps. Pratique avec tous les ingrédients et les fiches recette.;5; 13 janvier 2023
Jean luc Debieuvre;Très bien, facile à faire;Produits frais , recette faciles   découverte de nouveaux épices,  felicitation au concept j'adore;5; 14 janvier 2023
LANNOY CHANTAL ET BERNARD;Amaryllis;Bien pour tester seulement.Pensez à bien commander 1 seule box car si vous ne modifiez pas l'abonnement vous allez vous retrouver avec 1 box toute les semaines. Et pas de renvoi ni de remboursement de leur part si ça arrive.Leur transporteur Chronopost est à fuir !!!;4; 14 janvier 2023
Stéphanie  Thiaffey;Donne des idées recettes;J'ai jeté la mangue, elle était pourrie, noire, inmangeableJe suis seule, deux pourtions c'est trop et je n'ai pas le choixJe suis beaucoup salade, pas assez de salades composées proposéesJe ne mange pas trop de gluten donc pas de choix pour moi, il y en a presque dans tous vos platsProduits frais, tres agréablePas de gaspillage c'est vraiment agréableDes plats originaux, des découvertes que j'aime beaucoup Organisation de la box est superLes recettes sont faciles et rapides;5; 11 janvier 2023
Maxime CICCIA;Produits frais;Le problème ne vient pas de hello fresh, le problème vient de la livraison qui n'est pas respectée. Le livreur me raccroche au nez, ne se présente pas à mon domicile et du coup je n'ai pas eu  mon colis. Deuxième fois que cela se produit.Du coup je ne pense plus commander juste pour des livraisons car chauffeur médiocre et menteur. C'est bien dommage car j'apprécie beaucoup vos recettes et vis produits;5; 12 janvier 2023
Justine Guevelou;Bien pour tester seulement.;Recette simple à suivre. De bonne découverte degustative.;5; 16 décembre 2022
NATHALIE MARBOUTY;C'est une bonne expérience;C'est une bonne expérience. Tous les produits en plus du frais sont dans le colis, pas besoin de perdre du temps en faisant les courses, il n'y a plus qu'à cuisiner, juste prévoir le temps pour cela. le seul point qui me gêne c'est la récurrence automatique des colis, si on oubli d'annuler le colis est facturé et livré. Je préfèrerais pouvoir choisir quand je veux recevoir un colis et en faire la demande au coup par coup, je ne sais pas une semaine à l'avance mon planning et si je vais utiliser la totalité du colis reçu.;3,5; 14 janvier 2023
Fred;Problème de livraison et d'information du service client;Après l'annulation de notre livraison par chronopost (ou Hellofresh), j'ai demandé à être livrée sur mon lieu de travail le lendemain, ce qui n'a pas été fait. On m'a livré chez moi le surlendemain, mais je n'étais pas à mon domicile (on ne m'a pas prévenue du changement de jour de livraison) et j'ai été livrée que le samedi au lieu du mercredi.;4; 13 janvier 2023
Brigitte Jallois;Produits frais;Produits frais , économies , je réduit mes trajets courses, recettes originales ,produits en majorité français .;1; 13 janvier 2023
Tony Nasso;Le prix beaucoup trop cher;Je suis satisfaite des recettes proposées, variées et originales.Cependant cela fait 2 messages que je fais sur la messagerie afin qu’on me rappelle concernant un manquement dans ma précédente livraison et aucune réponse…,;4; 13 janvier 2023
Ludivine LE Brun;Je suis satisfaite des recettes;Très heureuse de mon expérience avec HelloFresh,  très bon rapport qualité prix.  Variété des menus,  flexibilité pour les livraisons et nombre de repas. Recettes très bien expliquées et jamais déçue.  Je recommande et j'ai déjà converti beaucoup de mes amies;2; 03 janvier 2023
Cb;Très satisfaite;C'est bon pour mon porte monnaie, on mange mieux, on découvre des saveurs. Si tout n'était pas pré acheté je ne me serais jamais lancé dans de telles recettes. Merci vraiment. Mon mari est aux anges depuis que je cuisine ainsi. Les légumes sont vraiment frais et se conservent bien. Beaucoup d'emballages sont recyclables. Très contente.;4; 08 novembre 2022
Pauwels Cindy;C'est bon pour mon porte monnaie;On aime découvrir de nouvelles saveurs et c'est souvent le cas. Le pas à pas est bien fait. Mais je serai prête à payer 5 € de plus sur la boxe que je prends pour avoir des produits bio.;4; 03 janvier 2023
Céline B;On aime découvrir de nouvelles saveurs…;Les recettes sont très faciles et rapides à faire. On adore.;5; 02 janvier 2023
cathy crost;Les recettes sont très faciles et…;Des recettes originales, des ingrédients de qualité, un rapport qualité prix imbattable !;4; 10 janvier 2023
